RA30;CODIGO_INVENTARIO;CODIGO_SEGMENTO_PISTA;CODIGO_PAVIMENTO;CODIGO_VOLUME;CODIGO_ROTA;DATA_ANALISE;NOME_RUA;COMPRIMENTO;LARGURA_PISTA;IDADE;ANO_ULTIMA_MR;CODIGO_MR;CODIGO_POCOVISITA;CODIGO_INTERFERENCIA;CODIGO_CALCADA;CODIGO_DRENAGEM;CODIGO_SUBLEITO;CODIGO_ESTRUTURA;CODIGO_SENTIDO;CODIGO_GRID;DA_RUA;ATE_RUA;NUMERO_FAIXAS;RAIZ;BOCA_LOBO;CODIGO_CONDICAO_DRENAGEM;CODIGO_ESTACIONAMENTO;CODIGO_MEIOFIO;CODIGO_CONDICAO_MEIOFIO;CODIGO_CONDICAO_CALCADA;CODIGO_HIERARQUIA;VELOCIDADE_VIA;VEICULOS_PESADOS;
1;12753;10593;1;5;;05/08/10;;;7,5;;;;2;;1;1;3;;2;;;;2;N;S;3;1;1;3;3;5;30;1;
1;21182;10594;1;3;;25/11/10;;;7,5;;;;;;3;1;3;;2;;;;2;N;S;3;2;1;3;3;4;40;7;
1;12982;10595;1;5;;09/08/10;;;7,5;;;;;;1;1;3;;2;;;;2;N;N;3;2;1;3;3;5;30;1;
1;13088;10596;1;5;;10/08/10;;;7,5;;;;;;1;1;3;;2;;;;2;N;S;3;1;1;3;3;5;30;1;
1;12179;10598;1;5;;29/07/10;;;5;;;;;;1;1;3;;1;;;;1;N;N;3;2;1;3;3;5;30;1;
1;13230;10599;1;5;;11/08/10;;;7,5;;;;2;;1;1;3;;2;;;;2;N;S;3;1;1;3;3;5;30;1;
1;13093;10600;1;5;;10/08/10;;;7,5;;;;;;1;1;3;;2;;;;2;N;S;3;2;1;3;3;5;30;2;
1;21370;10602;1;5;;03/12/10;;;7,5;;;;;;1;1;3;;2;;;;2;N;N;3;2;1;3;2;5;30;2;
1;13324;10604;1;5;;11/08/10;;;7,5;;;;;;1;1;3;;2;;;;2;N;S;3;1;1;3;3;5;30;1;
1;21171;10605;1;5;;25/11/10;;;7,5;;;;2;;1;1;3;;2;;;;2;N;S;3;2;1;3;3;5;30;1;
1;13120;10606;1;3;;10/08/10;;;7,5;;;;;;2;1;3;;1;;;;2;N;N;3;2;1;3;;3;60;5;
1;12048;10607;1;4;;28/07/10;;;7,5;;;;;;1;1;3;;2;;;;2;N;S;3;2;1;3;3;4;40;7;
1;12044;10608;1;4;;28/07/10;;;5;;;;;;2;1;3;;1;;;;1;N;N;3;2;3;3;;4;40;5;
1;12045;10609;1;4;;28/07/10;;;5;;;;;;2;1;3;;1;;;;1;N;N;3;2;3;3;;5;30;1;
1;13125;10610;1;3;;10/08/10;;;7,5;;;;;;2;1;3;;1;;;;2;N;S;3;2;1;3;;3;60;5;
1;13336;10611;1;3;;11/08/10;;;7,5;;;;;;2;1;3;;1;;;;2;N;N;3;2;1;3;;3;60;5;
1;21144;10613;1;4;;25/11/10;;;7,5;;;;;;3;1;3;;2;;;;2;N;S;3;2;1;3;3;5;30;2;
1;13273;10614;1;5;;11/08/10;;;7,5;;;;2;;1;1;3;;2;;;;2;N;S;3;2;1;3;3;5;30;1;
